Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000189606208,9/8/22 17:03,9/8/22 17:14,122558,307 US HWY 271,Gilmer,Texas,,,,FALSE
zcrm_1781014000189598623,9/8/22 17:10,9/8/22 17:21,305824,9506 Silver Crown,San Antonio,Texas,,,,FALSE
zcrm_1781014000189598429,9/8/22 16:44,9/8/22 17:19,33416,15318 Ferness,Channelview,Texas,,,,FALSE
zcrm_1781014000189558838,9/8/22 15:57,9/8/22 16:53,59960,18226 Kilmacolm Drive,Richmond,Texas,,,,FALSE
zcrm_1781014000189557374,9/8/22 14:26,9/8/22 16:11,283010,8 S 19th St,Temple,Texas,,,,FALSE
zcrm_1781014000189557057,9/8/22 13:30,9/8/22 13:52,62743,5221 Clotell Court,Fort Worth,Texas,,,,FALSE
zcrm_1781014000189556728,9/8/22 15:18,9/8/22 16:24,93892,75 South Church Street,Carbondale,Pennsylvania,,,,FALSE
zcrm_1781014000189550731,9/8/22 14:43,9/8/22 14:52,173564,2660 S FM 513,Campbell,Texas,,,,FALSE
zcrm_1781014000189546692,9/8/22 14:36,9/8/22 16:26,40366,6960 Branch Trail,Frisco,Texas,,,,FALSE
zcrm_1781014000189537127,9/8/22 11:24,9/8/22 11:24,249078,4085 Bluebird Dr,Waldorf,Maryland,,,,FALSE
zcrm_1781014000189529642,9/8/22 12:04,9/8/22 12:29,226242,3311 Carlo Rossi Dr,Fayetteville,North Carolina,,,,FALSE
zcrm_1781014000189529436,9/8/22 11:32,9/8/22 15:32,128851,6210 Sanford Rd,Houston,Texas,,,,FALSE
zcrm_1781014000189525635,9/8/22 11:44,9/8/22 13:54,123449,24 Valley View Dr,Morrisville,Pennsylvania,,,,FALSE
zcrm_1781014000189525539,9/8/22 11:32,9/8/22 11:38,211454,734 Indigo St,San Antonio,Texas,,,,FALSE
zcrm_1781014000189524973,9/8/22 13:15,9/8/22 14:07,32414,4610 Oregon Trl.,Amarillo,Texas,,,,FALSE
zcrm_1781014000189397551,9/7/22 22:37,9/8/22 5:43,135214,1412 Millican Lane,Aubrey,Texas,,,,FALSE
zcrm_1781014000189393301,9/7/22 22:18,9/8/22 15:42,339612,1603 Kohlers Trail,Lakeway,Texas,,,,FALSE
zcrm_1781014000189392532,9/7/22 22:53,9/7/22 22:55,342905,1443 scharpe,Houston,Texas,,,,FALSE
zcrm_1781014000189392306,9/7/22 21:18,9/8/22 7:05,154832,595 E Cabarrus St.,Raleigh,North Carolina,,,,FALSE
zcrm_1781014000189362345,9/7/22 18:34,9/7/22 18:34,,26188 9th Street 92346,Highland,,,,,FALSE
zcrm_1781014000189362228,9/7/22 18:08,9/7/22 18:12,,101 Royal Ln,Commerce,,7-Sep-22,,,FALSE
zcrm_1781014000189359113,9/7/22 17:25,9/7/22 20:10,292393,1102 Cherry Creek,Dayton,Texas,,,,FALSE
zcrm_1781014000189344661,9/7/22 18:12,9/7/22 20:24,157676,5521 Los Patios,Midland,Texas,,,,FALSE
zcrm_1781014000189324121,9/7/22 14:35,9/7/22 16:27,316077,545 Huger St,Charleston,South Carolina,,,,FALSE
zcrm_1781014000189323644,9/7/22 15:49,9/7/22 15:53,230417,228 Canyon Oak,Lake Jackson,Texas,,,,FALSE
zcrm_1781014000189320689,9/7/22 15:46,9/7/22 22:47,112956,"3335 Farm to Market Road 2518, Cleveland, TX 77327",Cleveland,Texas,,,,FALSE
zcrm_1781014000189279273,9/7/22 12:37,9/7/22 13:24,123826,2601 Baylor Dr,Rowlett,Texas,,,,FALSE
zcrm_1781014000189270336,9/7/22 12:29,9/7/22 13:15,13580,3805 W County Road 140,Midland,Texas,,,,FALSE
zcrm_1781014000189258339,9/7/22 12:32,9/7/22 13:26,367997,440 1st Avenue,Bridgeville,Pennsylvania,,,,FALSE
zcrm_1781014000189241407,9/7/22 12:43,9/7/22 12:57,314973,412 Eastdale Ln,Bullard,Texas,,,,FALSE
zcrm_1781014000189224408,9/7/22 12:48,9/7/22 13:14,354155,7201 hillcroft drive,austin,Texas,,,,FALSE
zcrm_1781014000189224088,9/7/22 11:51,9/7/22 11:59,211454,19615 Camino Ridge,San Antonio,Texas,,,,FALSE
zcrm_1781014000189162797,9/7/22 11:34,9/7/22 17:47,128851,3030 Thorne Creek Ln,Houston,Texas,,,,FALSE
zcrm_1781014000189146848,9/7/22 11:14,9/7/22 13:37,150117,3064 Archer Circle,Bryan,Texas,,,,FALSE
zcrm_1781014000189144699,9/7/22 11:25,9/7/22 18:23,218796,1082 Cobblestone Lane,Valencia,Pennsylvania,,,,FALSE
zcrm_1781014000189144433,9/7/22 10:45,9/8/22 17:21,9481,1109 Wheatland Terrace,Waxahachie,Texas,,,,FALSE
zcrm_1781014000189137162,9/7/22 9:37,9/7/22 9:41,72883,7005 Lismore Ct,Colleyville,Texas,,,,FALSE
zcrm_1781014000189129547,9/7/22 10:46,9/8/22 14:55,9481,4005 Orchard Park Lane,Midloathian,Texas,,,,FALSE
zcrm_1781014000189129470,9/7/22 10:30,9/7/22 17:55,336391,8902 Black Oak St,Austin,Texas,,,,FALSE
zcrm_1781014000189129134,9/7/22 9:38,9/7/22 9:49,77994,79 Baltimore St,Irwin,Pennsylvania,,,,FALSE
zcrm_1781014000189120640,9/7/22 10:37,9/7/22 19:09,349685,114 Mokolua Ln,Bastrop,Texas,,,,FALSE
zcrm_1781014000189094210,9/7/22 9:12,9/7/22 23:10,121335,4105 Cozy Pine,Northlake,Texas,,,,FALSE
zcrm_1781014000189076606,9/7/22 9:06,9/7/22 9:51,746,1805 Autumn Pond Circle,Alvin,Texas,,,,FALSE
zcrm_1781014000189008221,9/6/22 16:31,9/7/22 12:04,118753,8113 Lynores Way,Plano,Texas,,,,FALSE
zcrm_1781014000189005997,9/6/22 18:35,9/6/22 18:39,33117,709 Alpine St,Midland,Texas,,,,FALSE
zcrm_1781014000188999610,9/6/22 16:54,9/7/22 14:10,6657,2141 midway Rd.,Flower Mound,Texas,,,,FALSE
zcrm_1781014000188998097,9/6/22 15:56,9/7/22 5:34,120620,1368 Airport Road,Coatesville,Pennsylvania,,,,FALSE
zcrm_1781014000188994984,9/6/22 18:02,9/6/22 20:45,61270,116 Mallard Rd,Bastrop,Texas,,,,FALSE
zcrm_1781014000188993517,9/6/22 16:12,9/7/22 18:36,7108,2007 E 13TH ST #2 AUSTIN TX 78702-1707,Austin,Texas,,,,FALSE
zcrm_1781014000188960088,9/6/22 13:53,9/6/22 18:17,226242,3311 Carlo Rossi Dr,Fayetteville,North Carolina,,,,FALSE
zcrm_1781014000188955732,9/6/22 15:11,9/7/22 13:20,29843,4112 Willow Springs,Arlington,Texas,,,,FALSE
zcrm_1781014000188945486,9/6/22 13:06,9/7/22 21:31,15524,600 Westwood Terrace,Austin,Texas,,,,FALSE
zcrm_1781014000188944405,9/6/22 13:01,9/8/22 15:29,9405,268 Hot Spring Valley,Buda,Texas,,,,FALSE
zcrm_1781014000188937300,9/6/22 12:18,9/8/22 12:06,161346,3808 Salt Fork Drive,Killeen,Texas,,,,FALSE
zcrm_1781014000188937130,9/6/22 11:57,9/6/22 12:25,2493,605 Cr 3820,San Antonio,Texas,,,,FALSE
zcrm_1781014000188937063,9/6/22 11:48,9/6/22 16:31,230384,11428 Fullerton Place Dr NW,Huntersville,North Carolina,,,,FALSE
zcrm_1781014000188933533,9/6/22 12:42,9/6/22 13:30,76145,390 Rummel Drive,Kyle,Texas,,,,FALSE
zcrm_1781014000188932847,9/6/22 13:24,9/6/22 13:54,1191,2314 Vista Ridge Rd,Midland,Texas,,,,FALSE
zcrm_1781014000188932383,9/6/22 12:22,9/6/22 16:12,267691,1218 Yaupon Loop,New Braunfels,Texas,,,,FALSE
zcrm_1781014000188929540,9/6/22 12:17,9/6/22 14:01,44067,1401 Waterfall,Leander,Texas,,,,FALSE
zcrm_1781014000188928354,9/6/22 11:59,9/7/22 18:27,4389,580 Amistad Drive,Prosper,Texas,,,,FALSE
zcrm_1781014000188888344,9/6/22 10:35,9/6/22 20:52,277942,496 Long Leaf Dr,New Braunfels,Texas,,,,FALSE
zcrm_1781014000188881694,9/6/22 11:06,9/6/22 17:19,247123,108 Pumpkin Dr,Hutto,Texas,,,,FALSE
zcrm_1781014000188867966,9/6/22 11:55,9/6/22 15:56,316683,1612 Flagstone Ln,Little Elm,Texas,,,,FALSE
zcrm_1781014000188859536,9/6/22 10:28,9/8/22 16:38,58439,4959 Elgin St,Fort Worth,Texas,,,,FALSE
zcrm_1781014000188859242,9/6/22 9:36,9/7/22 10:25,ID:f61ac42c-3f99-4562-a227-3cfc9b06f922,2514 South Hudson Place 74114,Tulsa,Oklahoma,,,,FALSE
zcrm_1781014000188855177,9/6/22 9:22,9/6/22 12:52,218756,6225 Acorn Ridge Trl,Hillsborough,North Carolina,,,,FALSE
zcrm_1781014000188847239,9/6/22 9:33,9/7/22 18:32,241058,315 E Main St,Atglen,Pennsylvania,,,,FALSE
zcrm_1781014000188841142,9/6/22 9:25,9/6/22 19:45,63079,15811 Glenn Ln,Selma,Texas,,,,FALSE
zcrm_1781014000188774688,9/6/22 6:37,9/6/22 12:33,52617,1123 Bringewood Chase Dr,Spring,Texas,,,,FALSE
zcrm_1781014000188769517,9/5/22 22:32,9/7/22 16:34,ID:b2f17fc8-497b-4fe5-bd04-7f365a1c2134,3273 Fair Oaks Avenue 94063,Redwood City,California,,,,FALSE
zcrm_1781014000188768109,9/5/22 18:50,9/5/22 19:04,192020,5411 Kings Manor Drive,Lake Dallas,Texas,,,,FALSE
zcrm_1781014000188766320,9/5/22 20:04,9/5/22 22:22,100018,1706 Ninth,Terrell,Texas,,,,FALSE
zcrm_1781014000188749111,9/5/22 13:51,9/7/22 12:34,330404,615 Ridge View Dr,San Antonio,Texas,,,,FALSE
zcrm_1781014000188744464,9/5/22 15:46,9/6/22 18:42,363416,2878 Old North Road,Farmers Branch,Texas,,,,FALSE
zcrm_1781014000188743162,9/5/22 13:30,9/5/22 17:42,286664,1305 Northumberland Road,Coatesville,Pennsylvania,,,,FALSE
zcrm_1781014000188667547,9/5/22 9:05,9/5/22 10:46,6632,400 Willow Ridge Court,Ft. Worth,Texas,,,,FALSE
zcrm_1781014000188651389,9/5/22 8:20,9/5/22 23:00,9221,426 Craig Street,Hillsboro,Texas,,,,FALSE
zcrm_1781014000188647888,9/5/22 12:23,9/7/22 13:05,118923,912 Willow Lane,Royse city,Texas,,,,FALSE
zcrm_1781014000188643083,9/5/22 7:12,9/6/22 12:46,196910,6011 Leigh Canyon Dr,Friendswood,Texas,,,,FALSE
zcrm_1781014000188642232,9/5/22 8:48,9/7/22 10:28,3813,5247 Miss Ellie Ct,Royse City,Texas,,,,FALSE
zcrm_1781014000188626148,9/4/22 17:54,9/4/22 18:00,170315,3710 Kallies Cove,Abilene,Texas,,,,FALSE
zcrm_1781014000188623761,9/5/22 1:42,9/5/22 8:42,180478,58 Mound Avenue,Factoryville,Pennsylvania,,,,FALSE
zcrm_1781014000188618271,9/4/22 15:20,9/6/22 9:15,55995,20014 Peach Mill Ct,Cypress,Texas,,,,FALSE
