Record Id,Created Time,HSLP ordered at,Platform database ID (Agent),Display name,Property city,State (Agent),Closing date,Property Status,Property Status Updated,Closing Date is Wrong
zcrm_1781014000186368088,8/25/22 15:26,8/25/22 15:45,ID:67ef9129-6fb2-45ac-9786-236c6f259e3a,10370 Palladium Mine Drive 89521,Reno,Nevada,,,,FALSE
zcrm_1781014000186313455,8/25/22 16:15,8/25/22 16:22,364802,1302 Convair Ct,Midland,Texas,,,,FALSE
zcrm_1781014000186262027,8/25/22 13:22,8/25/22 13:28,194334,1019 S New Mexico St,Alton,Texas,,,,FALSE
zcrm_1781014000186243659,8/25/22 14:50,8/25/22 16:55,36298,3312 Sealy St,Galveston,Texas,,,,FALSE
zcrm_1781014000186238332,8/25/22 14:19,8/25/22 15:40,64902,3107 Rampart,Killeen,Texas,,,,FALSE
zcrm_1781014000186145266,8/25/22 10:32,8/25/22 10:41,279962,20 w maplewood ave,Mechanicsburg,Pennsylvania,,,,FALSE
zcrm_1781014000186141551,8/25/22 11:23,8/25/22 11:33,11500,132 Concho Creek Loop,Leander,Texas,,,,FALSE
zcrm_1781014000186112850,8/25/22 12:04,8/25/22 13:51,49742,706 S 13th St,Copperas Cove,Texas,,,,FALSE
zcrm_1781014000186112032,8/25/22 9:50,8/25/22 10:16,180014,228 Springdale Rd,York,Pennsylvania,,,,FALSE
zcrm_1781014000186090886,8/25/22 11:38,8/25/22 12:58,364722,12916 Forest Trl,Conroe,Texas,,,,FALSE
zcrm_1781014000186078082,8/25/22 9:39,8/25/22 9:41,283886,319 Scott st,Rogers,Texas,,,,FALSE
zcrm_1781014000185962219,8/25/22 9:18,8/25/22 9:28,75938,3509 Periwinkle Ct,Bedford,Texas,,,,FALSE
zcrm_1781014000185862162,8/25/22 6:24,8/25/22 8:23,100732,16280 Horseshoe Dr,Gardendale,Texas,,,,FALSE
zcrm_1781014000185846415,8/25/22 7:02,8/25/22 8:39,160974,1521 Tanglewood Dr East,Hideaway,Texas,,,,FALSE
zcrm_1781014000185814787,8/25/22 8:22,8/25/22 9:11,3655,10608 Coreopsis Drive,Austin,Texas,,,,FALSE
zcrm_1781014000185814653,8/25/22 8:08,8/25/22 13:35,25231,12230 Lee Rd,Murchison,Texas,,,,FALSE
zcrm_1781014000185775008,8/24/22 20:06,8/24/22 20:31,208752,26319 Meadow Dawn Ln,Katy,Texas,,,,FALSE
zcrm_1781014000185752186,8/24/22 18:32,8/24/22 18:52,329568,4628 Magnolia Ave,Bristol,Pennsylvania,,,,FALSE
zcrm_1781014000185744641,8/24/22 18:14,8/25/22 10:43,134486,449 Tablerock Drive,Murphy,Texas,,,,FALSE
zcrm_1781014000185737062,8/24/22 15:45,8/24/22 17:19,268330,750 Fortune 500,Odessa,Texas,,,,FALSE
zcrm_1781014000185732206,8/24/22 15:43,8/24/22 16:03,134488,7500 Hughes Drive,Plano,Texas,,,,FALSE
zcrm_1781014000185726989,8/24/22 17:52,8/24/22 18:48,ID:67ef9129-6fb2-45ac-9786-236c6f259e3a,2605 Heather Field Lane 89521,Reno,Nevada,,,,FALSE
zcrm_1781014000185724701,8/24/22 16:02,8/25/22 11:24,114801,209 E 2nd Ave,Altoona,Pennsylvania,,,,FALSE
zcrm_1781014000185718697,8/24/22 14:59,8/24/22 16:34,61418,107 Loma Park,San Antonio,Texas,,,,FALSE
zcrm_1781014000185717342,8/24/22 13:56,8/24/22 14:55,131615,11120 Beckon Falls,Waco,Texas,,,,FALSE
zcrm_1781014000185714301,8/24/22 12:54,8/25/22 7:44,241741,1301 Ashberry Trail,Georgetown,Texas,,,,FALSE
zcrm_1781014000185714212,8/24/22 12:48,8/25/22 13:16,68646,13958 Fort Ward Way,Conroe,Texas,,,,FALSE
zcrm_1781014000185714196,8/24/22 12:43,8/24/22 13:08,132832,9941 Tanglebrush Dr,Mckinney,Texas,,,,FALSE
zcrm_1781014000185709025,8/24/22 12:13,8/24/22 14:15,92317,115 Pioneer Ln,Effort,Pennsylvania,,,,FALSE
zcrm_1781014000185707375,8/24/22 12:51,8/24/22 22:26,22931,2432 Republic Trails,Leander,Texas,,,,FALSE
zcrm_1781014000185703850,8/24/22 13:43,8/24/22 18:39,54077,5122 Lakota Trail,Spring,Texas,,,,FALSE
zcrm_1781014000185700359,8/24/22 12:32,8/24/22 12:54,317561,4123 Pigg Mattox Rd,Monroe,North Carolina,,,,FALSE
zcrm_1781014000185699854,8/24/22 14:08,8/24/22 15:03,22769,15004 Kent Justin,Austin,Texas,,,,FALSE
zcrm_1781014000185689300,8/24/22 11:21,2/22/82 18:00,ID:6eea3b8b-6871-4402-a23b-826503d5284d,868 Milton 94607-3446,Oakland,California,,,,FALSE
zcrm_1781014000185686280,8/24/22 10:50,8/25/22 15:39,180218,1780 Shanklin Rd,Belton,Texas,,,,FALSE
zcrm_1781014000185683605,8/24/22 10:58,8/24/22 11:38,112999,1706 S Diamondhead Blvd,Crosby,Texas,,,,FALSE
zcrm_1781014000185683278,8/24/22 10:11,8/24/22 12:09,232438,12525 Morning Hill Pass,Magnolia,Texas,,,,FALSE
zcrm_1781014000185681561,8/24/22 11:16,8/25/22 9:43,ID:80eb1c62-eb44-4e9d-88f2-381710eeb66c,11225 Northwest 101st Street 73099,Yukon,Oklahoma,,,,FALSE
zcrm_1781014000185678277,8/24/22 10:13,8/24/22 10:13,28546,204 Grosseto Lane,Georgetown,Texas,,,,FALSE
zcrm_1781014000185678202,8/24/22 9:50,8/24/22 14:10,7424,118 Green Acres Drive,Murphy,Texas,,,,FALSE
zcrm_1781014000185677453,8/24/22 10:48,8/24/22 10:56,275099,"2660 Augusta Dr, D211",Houston,Texas,,,,FALSE
zcrm_1781014000185676397,8/24/22 10:13,8/24/22 13:04,3554,22255 ROBERTS CEMETERY RD OFFICE/ACTIVITY BLDG,HOCKELY,Texas,,,,FALSE
zcrm_1781014000185674230,8/24/22 9:46,8/24/22 12:53,124078,3909 Lochridge,North Richland Hills,Texas,,,,FALSE
zcrm_1781014000185674161,8/24/22 9:31,8/24/22 19:06,101761,208 Carone Dr,Cogan Station,Pennsylvania,,,,FALSE
zcrm_1781014000185543169,8/24/22 6:16,8/24/22 6:16,,Street Industry No.1 800200,Portland,,,,,FALSE
zcrm_1781014000185533359,8/24/22 7:52,8/24/22 11:07,112123,2405 Sherman Drive,Killeen,Texas,,,,FALSE
zcrm_1781014000185486463,8/23/22 21:51,8/24/22 6:19,188434,1815 Running Brook Dr,Austin,Texas,,,,FALSE
zcrm_1781014000185485785,8/23/22 22:23,8/24/22 12:36,363800,8400 Summer Park Drive,Fort Worth,Texas,,,,FALSE
zcrm_1781014000185470688,8/23/22 18:06,8/24/22 15:19,9480,5801 Hathaway Dr,Parker,Texas,,,,FALSE
zcrm_1781014000185468311,8/23/22 16:02,8/25/22 8:31,71607,2402 Lamroc Rd,Greensboro,North Carolina,,,,FALSE
zcrm_1781014000185466711,8/23/22 16:41,8/25/22 13:32,51858,4132 Rapids,Corpus Christi,Texas,,,,FALSE
zcrm_1781014000185464901,8/23/22 17:20,8/24/22 14:00,61939,8203 Glen Fox,San Antonio,Texas,,,,FALSE
zcrm_1781014000185463833,8/23/22 16:35,8/23/22 19:59,232438,3738 Essen Loop,College Station,Texas,,,,FALSE
zcrm_1781014000185461368,8/23/22 15:37,8/24/22 9:50,34124,1343 CR 4818,Kempner,Texas,,,,FALSE
zcrm_1781014000185460070,8/23/22 14:17,8/23/22 14:17,61746,10219 Sand Pass Ln,Houston,Texas,,,,FALSE
zcrm_1781014000185448714,8/23/22 14:03,8/23/22 17:43,64939,2711 Trails of the Madrones,Austin,Texas,,,,FALSE
zcrm_1781014000185448044,8/23/22 12:21,8/23/22 12:39,364141,11310 Thompson Bend Drive,Humble,Texas,,,,FALSE
zcrm_1781014000185445195,8/23/22 12:51,8/25/22 16:28,112176,102,Shavano Park,Texas,,,,FALSE
zcrm_1781014000185439031,8/23/22 11:48,8/25/22 8:09,81208,209 Washington Ct,Collegeville,Pennsylvania,,,,FALSE
